district,village,street,section,crossroad,death_toll,injured_toll,weather_desc,light_desc,road_type_desc,accident_location_desc,road_surface_condition_desc,road_surface_defect_desc,obstacle_desc,traffic_sign_desc,div_facility_desc,expressway_desc,expressway_slow_fast_lane_desc,road_side_line_desc,accident_type_and_form_desc,surveillance_tape
六龜區,村,台27甲省道,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,彎曲路及附近,一般車道(未劃分快慢車道),乾燥,無缺陷,無障礙物,無號誌,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,撞號誌、標誌桿,N
路竹區,村,中山路,,大仁路,1,0,陰,日間自然光線,四岔路,交岔路口內,濕潤,無缺陷,無障礙物,行車管制號誌,寬式(50公分以上),未繪設車道線,未繪設快慢車道分隔線,無,側撞,Y
仁武區,,水管路,3,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,,車道線(無標記),寬式快慢車道分隔島(50公分以上),有,路上翻車、摔倒,Y
苓雅區,村,中正一路,,輔仁路,1,0,晴,日間自然光線,四岔路,交岔路口內,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,側撞,N
楠梓區,村,高楠公路,,加昌路,1,1,晴,日間自然光線,橋樑,機車專用道,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),寬式快慢車道分隔島(50公分以上),有,對向擦撞,N
仁武區,村,澄觀路,,,1,0,晴,日間自然光線,直路,慢車道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,同向擦撞,Y
三民區,村,中都街,,同盟三路,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔路口內,乾燥,無缺陷,無障礙物,無號誌,無,未繪設車道線,未繪設快慢車道分隔線,無,路口交岔撞,Y
路竹區,村,中華路,,,1,0,晴,日間自然光線,彎曲路及附近,路肩、路線,乾燥,無缺陷,無障礙物,無號誌,無標記,車道線(無標記),未繪設快慢車道分隔線,有,撞路樹、電桿,Y
內門區,村,台3省道,,高123鄉道,1,2,晴,夜間(或隧道、地下道、涵洞) 有照明,三岔路,交岔口附近,乾燥,無缺陷,無障礙物,行車管制號誌,無,未繪設車道線,未繪設快慢車道分隔線,有,對向擦撞,N
彌陀區,村,中正東路,,,1,0,晴,夜間(或隧道、地下道、涵洞) 有照明,直路,人行道,乾燥,無缺陷,無障礙物,無號誌,寬式(50公分以上),禁止變換車道線(無標記),快慢車道分隔線,有,撞路樹、電桿,N
